,STATION,ENTRIES,EXITS,geometry
0,1 av,1.5728386553985565,1.7283452429634403,POINT (-73.98168087489128 40.73097497580066)
1,103 st,-0.3419618854897317,-0.2859500897706537,POINT (-73.96837899960818 40.79944600033483)
2,103 st,-0.3419618854897317,-0.2859500897706537,POINT (-73.96137008267617 40.79606073990453)
3,103 st,-0.3419618854897317,-0.2859500897706537,POINT (-73.86269999830412 40.74986500055554)
4,103 st,-0.3419618854897317,-0.2859500897706537,POINT (-73.94747800152219 40.79060000008452)
5,104 st,7.461918577804025,7.740185553199507,POINT (-73.83768300060997 40.68171100109119)
6,110 st,-0.3791758335591373,-0.3182977524153611,POINT (-73.94424999687163 40.79502000011311)
7,111 st,-0.3551133923235036,-0.32262213900127396,POINT (-73.83216299845388 40.68433100001238)
8,111 st,-0.3551133923235036,-0.32262213900127396,POINT (-73.85533399834884 40.75172999941711)
9,111 st,-0.3551133923235036,-0.32262213900127396,POINT (-73.83679338454697 40.69711481069648)
10,121 st,-0.06878367711351362,-0.3706214151729707,POINT (-73.82834900017954 40.70048199851531)
11,125 st,0.32600911808417515,0.12101696528106173,POINT (-73.94549500011411 40.80775399918281)
12,125 st,0.32600911808417515,0.12101696528106173,POINT (-73.95837200097044 40.81558099997893)
13,125 st,0.32600911808417515,0.12101696528106173,POINT (-73.95224799734774 40.81107167299457)
14,125 st,0.32600911808417515,0.12101696528106173,POINT (-73.93759400055725 40.80413800058724)
15,135 st,-0.4025198657168947,-0.36805245081001114,POINT (-73.94077000106708 40.8142290003391)
16,135 st,-0.4025198657168947,-0.36805245081001114,POINT (-73.94753480879213 40.81790555921268)
17,138 st,4.301709877802393,4.239688446531852,POINT (-73.92984899935611 40.81322399958908)
18,14 st,0.22845257940205183,0.3389070065228616,POINT (-74.00020100063497 40.73782599972812)
19,14 st,0.22845257940205183,0.3389070065228616,POINT (-73.99620899921355 40.73822799969515)
20,14 st,0.22845257940205183,0.3389070065228616,POINT (-74.00168999937027 40.7408930001933)
21,14 st,-0.4441571641148131,-0.3851474267512104,POINT (-74.00020100063497 40.73782599972812)
22,14 st,-0.4441571641148131,-0.3851474267512104,POINT (-73.99620899921355 40.73822799969515)
23,14 st,-0.4441571641148131,-0.3851474267512104,POINT (-74.00168999937027 40.7408930001933)
24,145 st,0.656970557979347,1.1895617260628788,POINT (-73.95035999879713 40.82655099962194)
25,145 st,0.656970557979347,1.1895617260628788,POINT (-73.93624499873299 40.82042099969279)
26,145 st,0.656970557979347,1.1895617260628788,POINT (-73.94408792823116 40.82476636087191)
27,149 st,0.6378000079704819,0.039767192517065814,POINT (-73.92738475426179 40.81830344372315)
28,149 st,0.6378000079704819,0.039767192517065814,POINT (-73.92672247438611 40.81833014409742)
29,15 st,-0.14167462676651882,-0.3776677786841944,POINT (-73.97973580592873 40.66003568810021)
30,161 st,0.333840864235339,0.13131410779932318,POINT (-73.92569199505733 40.82823032742169)
31,161 st,0.333840864235339,0.13131410779932318,POINT (-73.92565099775477 40.82790499884585)
32,167 st,1.8449762593228993,0.7187906214444924,POINT (-73.91843200082253 40.83376899862797)
33,167 st,1.8449762593228993,0.7187906214444924,POINT (-73.92139999784426 40.83553699933672)
34,168 st,-0.3466560953839646,-0.3411690552639626,POINT (-73.93956099985425 40.84071899990795)
35,168 st,-0.3466560953839646,-0.3411690552639626,POINT (-73.94013299907257 40.84055599914853)
36,169 st,-0.42418313770058824,-0.3626041510569469,POINT (-73.79347419927721 40.710517502784)
37,170 st,-0.3773993519120017,-0.3354317961263154,POINT (-73.91339999846983 40.83930599964156)
38,170 st,-0.3773993519120017,-0.3354317961263154,POINT (-73.91779099745928 40.84007499993004)
39,174 175 sts,-0.4231122502077551,-0.370654437004496,POINT (-73.91013600050078 40.84589999983414)
40,175 st,-0.11420087214733694,-0.11266514481943837,POINT (-73.93970399761596 40.84739100072403)
41,176 st,-0.40508490555363813,-0.3580940135795549,POINT (-73.91179399884471 40.8484800012369)
42,18 av,2.2767355798102766,0.9610107392596664,POINT (-73.97697099965796 40.62975466638584)
43,18 av,2.2767355798102766,0.9610107392596664,POINT (-73.99045399865993 40.62068699768002)
44,18 av,2.2767355798102766,0.9610107392596664,POINT (-74.00159259239406 40.60773573171741)
45,18 st,-0.04403835021632273,0.9776996721625912,POINT (-73.99787100060406 40.7410399998021)
46,181 st,-0.3586211428382322,-0.28477226739083467,POINT (-73.9335959996056 40.84950499974065)
47,181 st,-0.3586211428382322,-0.28477226739083467,POINT (-73.93796900205011 40.85169499974462)
48,182 183 sts,-0.34152648352281795,-0.32554027430856414,POINT (-73.90074099998965 40.85609299881864)
49,183 st,5.954988288295595,6.347512441767479,POINT (-73.90387900151532 40.85840700040842)
50,190 st,-0.3553520256097686,-0.3353215699001055,POINT (-73.93417999964333 40.85902199892482)
51,191 st,-0.40905858663036804,-0.33731721326216413,POINT (-73.92941199742039 40.85522500175836)
52,20 av,-0.36932348639747264,-0.3138157114171039,POINT (-73.98452199846113 40.61710899986601)
53,20 av,-0.36932348639747264,-0.3138157114171039,POINT (-73.99817432157568 40.60467699816932)
54,207 st,-0.0780993543526933,-0.36940849045608853,POINT (-73.91881900132312 40.86461400052585)
55,21 st,-0.3630244349609009,-0.3078459713317287,POINT (-73.94959999975519 40.7441286664954)
56,21 st,-0.3630244349609009,-0.3078459713317287,POINT (-73.94193761457447 40.75373927087553)
57,215 st,-0.41509332496805557,0.2272803026056529,POINT (-73.91527899954356 40.86944399946045)
58,23 st,0.7993215579461644,0.8470568814285232,POINT (-73.98659900207888 40.7398640004746)
59,23 st,0.7993215579461644,0.8470568814285232,POINT (-73.99565700164869 40.74408099989751)
60,23 st,0.7993215579461644,0.8470568814285232,POINT (-73.99276500471389 40.742954317826)
61,23 st,0.7993215579461644,0.8470568814285232,POINT (-73.98934400102907 40.74130266729)
62,23 st,0.7993215579461644,0.8470568814285232,POINT (-73.99804100117201 40.74590599939995)
63,231 st,-0.39077959969175247,-0.3846075091538958,POINT (-73.90483400107873 40.87885599817935)
64,25 st,-0.40679937953797135,-0.3409866645774948,POINT (-73.99809099974297 40.66039666692321)
65,28 st,-0.40258780612598827,-0.3278224092608175,POINT (-73.98869800128737 40.74545399979951)
66,28 st,-0.40258780612598827,-0.3278224092608175,POINT (-73.99336500134324 40.74721499918219)
67,28 st,-0.40258780612598827,-0.3278224092608175,POINT (-73.98426400110407 40.74306999925903)
68,3 av,-0.40144664088279297,-0.33603942576561985,POINT (-73.98575000112093 40.73269099971662)
69,3 av 149 st,1.4580233839476502,0.8437830743282053,POINT (-73.91779152760981 40.81602925251001)
70,30 av,-0.36638841493992247,-0.29967022603591076,POINT (-73.9214790001739 40.76677866673298)
71,33 st,-0.23765296458942395,-0.34339916813209137,POINT (-73.98207600148947 40.74608099909145)
72,33 st,-0.23765296458942395,-0.34339916813209137,POINT (-73.93099699953838 40.74458699983993)
73,34 st,0.39454034502623175,0.49935901737208077,POINT (-73.99105699913983 40.75037300003949)
74,34 st,0.39454034502623175,0.49935901737208077,POINT (-73.99339099970578 40.75228700077589)
75,34 st,0.39454034502623175,0.49935901737208077,POINT (-74.00219709442206 40.75544635961596)
76,34 st,-0.44483727968011477,-0.3844553155090006,POINT (-73.99105699913983 40.75037300003949)
77,34 st,-0.44483727968011477,-0.3844553155090006,POINT (-73.99339099970578 40.75228700077589)
78,34 st,-0.44483727968011477,-0.3844553155090006,POINT (-74.00219709442206 40.75544635961596)
79,34 st,-0.043181317603215696,-0.152142172868826,POINT (-73.99105699913983 40.75037300003949)
80,34 st,-0.043181317603215696,-0.152142172868826,POINT (-73.99339099970578 40.75228700077589)
81,34 st,-0.043181317603215696,-0.152142172868826,POINT (-74.00219709442206 40.75544635961596)
