,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,geometry
1302585,12/31/2016,03:45:00,ROBBERY,POINT (-73.73948955100001 40.715536145)
1302597,12/31/2016,03:20:00,ROBBERY,POINT (-73.88172567699999 40.831296275)
1302614,12/31/2016,03:00:00,ROBBERY,POINT (-73.862505072 40.756107693)
1302616,12/31/2016,03:00:00,ROBBERY,POINT (-73.988817939 40.720891684)
1302620,12/31/2016,03:00:00,ROBBERY,POINT (-73.90882682500001 40.694632638)
1302632,12/31/2016,02:30:00,ROBBERY,POINT (-74.014980128 40.64063408)
1302645,12/31/2016,02:25:00,ROBBERY,POINT (-73.78226248600001 40.693115097)
1302661,12/31/2016,02:00:00,ROBBERY,POINT (-73.822385333 40.689846367)
1302665,12/31/2016,01:50:00,ROBBERY,POINT (-73.88040582100001 40.829788065)
1302668,12/31/2016,01:48:00,ROBBERY,POINT (-73.870005229 40.759997474)
1302676,12/31/2016,01:35:00,ROBBERY,POINT (-73.97836621399999 40.611453152)
1302711,12/31/2016,01:00:00,ROBBERY,POINT (-73.796892087 40.708605903)
1303739,12/30/2016,03:20:00,ROBBERY,POINT (-73.920447835 40.662774417)
1303743,12/30/2016,03:05:00,ROBBERY,POINT (-73.936361299 40.798943416)
1303744,12/30/2016,03:00:00,ROBBERY,POINT (-73.90917787399999 40.84990834)
1303761,12/30/2016,02:40:00,ROBBERY,POINT (-73.885611021 40.738374411)
1303768,12/30/2016,02:20:00,ROBBERY,POINT (-73.904528301 40.823055808)
1303794,12/30/2016,01:30:00,ROBBERY,POINT (-73.93446174600001 40.644590832)
1303795,12/30/2016,01:30:00,ROBBERY,POINT (-73.941875047 40.70964599)
1303802,12/30/2016,01:20:00,ROBBERY,POINT (-73.95433516199999 40.823116479)
1304119,12/28/2016,03:06:00,ROBBERY,POINT (-73.86007341199999 40.738381896)
1304947,12/29/2016,03:50:00,ROBBERY,POINT (-73.866792719 40.82130294)
1304950,12/29/2016,03:35:00,ROBBERY,POINT (-73.954187936 40.806046998)
1305019,12/29/2016,01:00:00,ROBBERY,POINT (-73.956313353 40.814852894)
1306183,12/28/2016,03:35:00,ROBBERY,POINT (-73.86840576199999 40.864328139)
1306187,12/28/2016,03:30:00,ROBBERY,POINT (-73.88577755999999 40.855934131)
1306230,12/28/2016,01:35:00,ROBBERY,POINT (-73.995654876 40.712199486)
1306232,12/28/2016,01:30:00,ROBBERY,POINT (-73.915517315 40.824716702)
1307537,12/27/2016,02:30:00,ROBBERY,POINT (-73.955411646 40.818063873)
1307551,12/27/2016,01:55:00,ROBBERY,POINT (-73.893524083 40.853819884)
1307564,12/27/2016,01:10:00,ROBBERY,POINT (-73.88641327800001 40.858347353)
1308686,12/26/2016,03:00:00,ROBBERY,POINT (-73.925182245 40.686898689)
1308692,12/26/2016,03:00:00,ROBBERY,POINT (-73.91477800600001 40.620486909)
1308715,12/26/2016,02:00:00,ROBBERY,POINT (-73.905796923 40.817657987)
1309620,12/25/2016,03:00:00,ROBBERY,POINT (-73.90635708000001 40.861186817)
1309635,12/25/2016,02:30:00,ROBBERY,POINT (-73.76296996100001 40.713382832)
1309640,12/25/2016,02:15:00,ROBBERY,POINT (-73.985832684 40.576518506)
1309648,12/25/2016,02:00:00,ROBBERY,POINT (-73.904229879 40.849651826)
1309665,12/25/2016,01:30:00,ROBBERY,POINT (-73.94274858 40.797088584)
1309681,12/25/2016,01:00:00,ROBBERY,POINT (-73.92832947399999 40.69750923)
1309683,12/25/2016,01:00:00,ROBBERY,POINT (-73.947037221 40.677120216)
1309850,12/24/2016,01:00:00,ROBBERY,POINT (-73.87583624199999 40.76315213)
1310441,12/24/2016,03:30:00,ROBBERY,POINT (-73.99871688100001 40.734791668)
1310451,12/24/2016,03:15:00,ROBBERY,POINT (-73.985870268 40.722189631)
1310453,12/24/2016,03:02:00,ROBBERY,POINT (-74.13299984 40.636517809)
1310473,12/24/2016,02:30:00,ROBBERY,POINT (-73.99048884600001 40.66614467)
1310486,12/24/2016,02:25:00,ROBBERY,POINT (-73.92605407800001 40.759116616)
1310496,12/24/2016,02:03:00,ROBBERY,POINT (-73.82712605899999 40.830722328)
1310498,12/24/2016,02:00:00,ROBBERY,POINT (-73.86606494600001 40.74308804)
1310501,12/24/2016,02:00:00,ROBBERY,POINT (-73.87853242199999 40.874217411)
1310503,12/24/2016,01:55:00,ROBBERY,POINT (-73.868088091 40.745610059)
1310518,12/24/2016,01:35:00,ROBBERY,POINT (-73.75294943999999 40.659786357)
1310545,12/24/2016,01:00:00,ROBBERY,POINT (-73.92161973600001 40.812699137)
1311651,12/23/2016,03:20:00,ROBBERY,POINT (-73.956834542 40.718671859)
1311660,12/23/2016,02:40:00,ROBBERY,POINT (-73.83890414699999 40.710684278)
1311683,12/23/2016,02:00:00,ROBBERY,POINT (-73.94112857100001 40.799308254)
1312072,12/13/2016,03:30:00,ROBBERY,POINT (-73.989352165 40.71899236)
1312922,12/22/2016,03:10:00,ROBBERY,POINT (-73.93375785399999 40.798266747)
